3600.000         0.000000
3700.000         0.030000
3800.000         0.134000
3900.000         0.567000
4000.000         0.920000
4100.000         0.978000
4200.000         1.000000
4300.000         0.978000
4400.000         0.935000
4500.000         0.853000
4600.000         0.740000
4700.000         0.640000
4800.000         0.536000
4900.000         0.424000
5000.000         0.325000
5100.000         0.235000
5200.000         0.150000
5300.000         0.095000
5400.000         0.043000
5500.000         0.009000
5600.000         0.000000
